Inf;Sup;null
2005-04-26, 04:00:00,000;2005-04-26, 04:59:59,999;31.0
2005-04-26, 05:00:00,000;2005-04-26, 05:59:59,999;94.0
2005-04-26, 06:00:00,000;2005-04-26, 06:59:59,999;252.0
2005-04-26, 07:00:00,000;2005-04-26, 07:59:59,999;469.0
2005-04-26, 08:00:00,000;2005-04-26, 08:59:59,999;426.0
2005-04-26, 09:00:00,000;2005-04-26, 09:59:59,999;391.0
2005-04-26, 10:00:00,000;2005-04-26, 10:59:59,999;351.0
2005-04-26, 11:00:00,000;2005-04-26, 11:59:59,999;330.0
2005-04-26, 12:00:00,000;2005-04-26, 12:59:59,999;311.0
2005-04-26, 13:00:00,000;2005-04-26, 13:59:59,999;363.0
2005-04-26, 14:00:00,000;2005-04-26, 14:59:59,999;422.0
2005-04-26, 15:00:00,000;2005-04-26, 15:59:59,999;452.0
2005-04-26, 16:00:00,000;2005-04-26, 16:59:59,999;456.0
2005-04-26, 17:00:00,000;2005-04-26, 17:59:59,999;413.0
2005-04-26, 18:00:00,000;2005-04-26, 18:59:59,999;336.0
2005-04-26, 19:00:00,000;2005-04-26, 19:59:59,999;295.0
2005-04-26, 20:00:00,000;2005-04-26, 20:59:59,999;217.0
2005-04-26, 21:00:00,000;2005-04-26, 21:59:59,999;324.0
2005-04-26, 22:00:00,000;2005-04-26, 22:59:59,999;429.0
2005-04-26, 23:00:00,000;2005-04-26, 23:59:59,999;106.0
2005-04-27, 00:00:00,000;2005-04-27, 00:59:59,999;53.0
2005-04-27, 01:00:00,000;2005-04-27, 01:59:59,999;28.0
2005-04-27, 02:00:00,000;2005-04-27, 02:59:59,999;29.0
2005-04-27, 03:00:00,000;2005-04-27, 03:59:59,999;17.0
2005-04-27, 04:00:00,000;2005-04-27, 04:59:59,999;34.0
2005-04-27, 05:00:00,000;2005-04-27, 05:59:59,999;87.0
2005-04-27, 06:00:00,000;2005-04-27, 06:59:59,999;262.0
2005-04-27, 07:00:00,000;2005-04-27, 07:59:59,999;449.0
2005-04-27, 08:00:00,000;2005-04-27, 08:59:59,999;476.0
2005-04-27, 09:00:00,000;2005-04-27, 09:59:59,999;380.0
2005-04-27, 10:00:00,000;2005-04-27, 10:59:59,999;341.0
2005-04-27, 11:00:00,000;2005-04-27, 11:59:59,999;284.0
2005-04-27, 12:00:00,000;2005-04-27, 12:59:59,999;292.0
2005-04-27, 13:00:00,000;2005-04-27, 13:59:59,999;308.0
2005-04-27, 14:00:00,000;2005-04-27, 14:59:59,999;396.0
2005-04-27, 15:00:00,000;2005-04-27, 15:59:59,999;442.0
2005-04-27, 16:00:00,000;2005-04-27, 16:59:59,999;484.0
2005-04-27, 17:00:00,000;2005-04-27, 17:59:59,999;398.0
2005-04-27, 18:00:00,000;2005-04-27, 18:59:59,999;392.0
2005-04-27, 19:00:00,000;2005-04-27, 19:59:59,999;307.0
2005-04-27, 20:00:00,000;2005-04-27, 20:59:59,999;207.0
2005-04-27, 21:00:00,000;2005-04-27, 21:59:59,999;320.0
2005-04-27, 22:00:00,000;2005-04-27, 22:59:59,999;475.0
2005-04-27, 23:00:00,000;2005-04-27, 23:59:59,999;161.0
2005-04-28, 00:00:00,000;2005-04-28, 00:59:59,999;69.0
2005-04-28, 01:00:00,000;2005-04-28, 01:59:59,999;30.0
2005-04-28, 02:00:00,000;2005-04-28, 02:59:59,999;25.0
2005-04-28, 03:00:00,000;2005-04-28, 03:59:59,999;23.0
2005-04-28, 04:00:00,000;2005-04-28, 04:59:59,999;23.0
2005-04-28, 05:00:00,000;2005-04-28, 05:59:59,999;69.0
2005-04-28, 06:00:00,000;2005-04-28, 06:59:59,999;266.0
2005-04-28, 07:00:00,000;2005-04-28, 07:59:59,999;441.0
2005-04-28, 08:00:00,000;2005-04-28, 08:59:59,999;448.0
2005-04-28, 09:00:00,000;2005-04-28, 09:59:59,999;371.0
2005-04-28, 10:00:00,000;2005-04-28, 10:59:59,999;302.0
2005-04-28, 11:00:00,000;2005-04-28, 11:59:59,999;319.0
2005-04-28, 12:00:00,000;2005-04-28, 12:59:59,999;298.0
2005-04-28, 13:00:00,000;2005-04-28, 13:59:59,999;325.0
2005-04-28, 14:00:00,000;2005-04-28, 14:59:59,999;389.0
2005-04-28, 15:00:00,000;2005-04-28, 15:59:59,999;426.0
2005-04-28, 16:00:00,000;2005-04-28, 16:59:59,999;362.0
2005-04-28, 17:00:00,000;2005-04-28, 17:59:59,999;372.0
2005-04-28, 18:00:00,000;2005-04-28, 18:59:59,999;343.0
2005-04-28, 19:00:00,000;2005-04-28, 19:59:59,999;293.0
2005-04-28, 20:00:00,000;2005-04-28, 20:59:59,999;241.0
2005-04-28, 21:00:00,000;2005-04-28, 21:59:59,999;239.0
2005-04-28, 22:00:00,000;2005-04-28, 22:59:59,999;162.0
2005-04-28, 23:00:00,000;2005-04-28, 23:59:59,999;112.0
2005-04-29, 00:00:00,000;2005-04-29, 00:59:59,999;78.0
2005-04-29, 01:00:00,000;2005-04-29, 01:59:59,999;55.0
2005-04-29, 02:00:00,000;2005-04-29, 02:59:59,999;34.0
2005-04-29, 03:00:00,000;2005-04-29, 03:59:59,999;23.0
2005-04-29, 04:00:00,000;2005-04-29, 04:59:59,999;25.0
2005-04-29, 05:00:00,000;2005-04-29, 05:59:59,999;114.0
2005-04-29, 06:00:00,000;2005-04-29, 06:59:59,999;282.0
2005-04-29, 07:00:00,000;2005-04-29, 07:59:59,999;432.0
2005-04-29, 08:00:00,000;2005-04-29, 08:59:59,999;430.0
2005-04-29, 09:00:00,000;2005-04-29, 09:59:59,999;395.0
2005-04-29, 10:00:00,000;2005-04-29, 10:59:59,999;329.0
2005-04-29, 11:00:00,000;2005-04-29, 11:59:59,999;345.0
2005-04-29, 12:00:00,000;2005-04-29, 12:59:59,999;380.0
2005-04-29, 13:00:00,000;2005-04-29, 13:59:59,999;401.0
2005-04-29, 14:00:00,000;2005-04-29, 14:59:59,999;394.0
2005-04-29, 15:00:00,000;2005-04-29, 15:59:59,999;466.0
2005-04-29, 16:00:00,000;2005-04-29, 16:59:59,999;378.0
2005-04-29, 17:00:00,000;2005-04-29, 17:59:59,999;341.0
2005-04-29, 18:00:00,000;2005-04-29, 18:59:59,999;340.0
2005-04-29, 19:00:00,000;2005-04-29, 19:59:59,999;336.0
2005-04-29, 20:00:00,000;2005-04-29, 20:59:59,999;206.0
2005-04-29, 21:00:00,000;2005-04-29, 21:59:59,999;246.0
2005-04-29, 22:00:00,000;2005-04-29, 22:59:59,999;428.0
2005-04-29, 23:00:00,000;2005-04-29, 23:59:59,999;199.0
2005-04-30, 00:00:00,000;2005-04-30, 00:59:59,999;116.0
2005-04-30, 01:00:00,000;2005-04-30, 01:59:59,999;83.0
2005-04-30, 02:00:00,000;2005-04-30, 02:59:59,999;83.0
2005-04-30, 03:00:00,000;2005-04-30, 03:59:59,999;28.0
2005-04-30, 04:00:00,000;2005-04-30, 04:59:59,999;32.0
2005-04-30, 05:00:00,000;2005-04-30, 05:59:59,999;55.0
2005-04-30, 06:00:00,000;2005-04-30, 06:59:59,999;110.0
2005-04-30, 07:00:00,000;2005-04-30, 07:59:59,999;182.0
2005-04-30, 08:00:00,000;2005-04-30, 08:59:59,999;245.0
2005-04-30, 09:00:00,000;2005-04-30, 09:59:59,999;250.0
2005-04-30, 10:00:00,000;2005-04-30, 10:59:59,999;300.0
2005-04-30, 11:00:00,000;2005-04-30, 11:59:59,999;323.0
2005-04-30, 12:00:00,000;2005-04-30, 12:59:59,999;316.0
2005-04-30, 13:00:00,000;2005-04-30, 13:59:59,999;336.0
2005-04-30, 14:00:00,000;2005-04-30, 14:59:59,999;337.0
2005-04-30, 15:00:00,000;2005-04-30, 15:59:59,999;359.0
2005-04-30, 16:00:00,000;2005-04-30, 16:59:59,999;360.0
2005-04-30, 17:00:00,000;2005-04-30, 17:59:59,999;348.0
2005-04-30, 18:00:00,000;2005-04-30, 18:59:59,999;357.0
2005-04-30, 19:00:00,000;2005-04-30, 19:59:59,999;369.0
2005-04-30, 20:00:00,000;2005-04-30, 20:59:59,999;266.0
2005-04-30, 21:00:00,000;2005-04-30, 21:59:59,999;355.0
2005-04-30, 22:00:00,000;2005-04-30, 22:59:59,999;490.0
2005-04-30, 23:00:00,000;2005-04-30, 23:59:59,999;390.0
2005-05-01, 00:00:00,000;2005-05-01, 00:59:59,999;155.0
2005-05-01, 01:00:00,000;2005-05-01, 01:59:59,999;111.0
2005-05-01, 02:00:00,000;2005-05-01, 02:59:59,999;93.0
2005-05-01, 03:00:00,000;2005-05-01, 03:59:59,999;50.0
2005-05-01, 04:00:00,000;2005-05-01, 04:59:59,999;44.0
2005-05-01, 05:00:00,000;2005-05-01, 05:59:59,999;42.0
2005-05-01, 06:00:00,000;2005-05-01, 06:59:59,999;57.0
2005-05-01, 07:00:00,000;2005-05-01, 07:59:59,999;90.0
2005-05-01, 08:00:00,000;2005-05-01, 08:59:59,999;142.0
2005-05-01, 09:00:00,000;2005-05-01, 09:59:59,999;187.0
2005-05-01, 10:00:00,000;2005-05-01, 10:59:59,999;274.0
2005-05-01, 11:00:00,000;2005-05-01, 11:59:59,999;284.0
2005-05-01, 12:00:00,000;2005-05-01, 12:59:59,999;293.0
2005-05-01, 13:00:00,000;2005-05-01, 13:59:59,999;289.0
2005-05-01, 14:00:00,000;2005-05-01, 14:59:59,999;348.0
2005-05-01, 15:00:00,000;2005-05-01, 15:59:59,999;455.0
2005-05-01, 16:00:00,000;2005-05-01, 16:59:59,999;590.0
2005-05-01, 17:00:00,000;2005-05-01, 17:59:59,999;375.0
2005-05-01, 18:00:00,000;2005-05-01, 18:59:59,999;339.0
2005-05-01, 19:00:00,000;2005-05-01, 19:59:59,999;261.0
2005-05-01, 20:00:00,000;2005-05-01, 20:59:59,999;249.0
2005-05-01, 21:00:00,000;2005-05-01, 21:59:59,999;199.0
2005-05-01, 22:00:00,000;2005-05-01, 22:59:59,999;174.0
2005-05-01, 23:00:00,000;2005-05-01, 23:59:59,999;77.0
2005-05-02, 00:00:00,000;2005-05-02, 00:59:59,999;60.0
2005-05-02, 01:00:00,000;2005-05-02, 01:59:59,999;33.0
2005-05-02, 02:00:00,000;2005-05-02, 02:59:59,999;28.0
2005-05-02, 03:00:00,000;2005-05-02, 03:59:59,999;27.0
2005-05-02, 04:00:00,000;2005-05-02, 04:59:59,999;43.0
2005-05-02, 05:00:00,000;2005-05-02, 05:59:59,999;86.0
2005-05-02, 06:00:00,000;2005-05-02, 06:59:59,999;248.0
2005-05-02, 07:00:00,000;2005-05-02, 07:59:59,999;445.0
2005-05-02, 08:00:00,000;2005-05-02, 08:59:59,999;439.0
2005-05-02, 09:00:00,000;2005-05-02, 09:59:59,999;368.0
2005-05-02, 10:00:00,000;2005-05-02, 10:59:59,999;320.0
2005-05-02, 11:00:00,000;2005-05-02, 11:59:59,999;325.0
2005-05-02, 12:00:00,000;2005-05-02, 12:59:59,999;285.0
2005-05-02, 13:00:00,000;2005-05-02, 13:59:59,999;336.0
2005-05-02, 14:00:00,000;2005-05-02, 14:59:59,999;406.0
2005-05-02, 15:00:00,000;2005-05-02, 15:59:59,999;452.0
2005-05-02, 16:00:00,000;2005-05-02, 16:59:59,999;421.0
2005-05-02, 17:00:00,000;2005-05-02, 17:59:59,999;405.0
2005-05-02, 18:00:00,000;2005-05-02, 18:59:59,999;363.0
2005-05-02, 19:00:00,000;2005-05-02, 19:59:59,999;254.0
2005-05-02, 20:00:00,000;2005-05-02, 20:59:59,999;240.0
2005-05-02, 21:00:00,000;2005-05-02, 21:59:59,999;337.0
2005-05-02, 22:00:00,000;2005-05-02, 22:59:59,999;248.0
2005-05-02, 23:00:00,000;2005-05-02, 23:59:59,999;90.0
2005-05-03, 00:00:00,000;2005-05-03, 00:59:59,999;60.0
2005-05-03, 01:00:00,000;2005-05-03, 01:59:59,999;28.0
2005-05-03, 02:00:00,000;2005-05-03, 02:59:59,999;35.0
2005-05-03, 03:00:00,000;2005-05-03, 03:59:59,999;20.0
2005-05-03, 04:00:00,000;2005-05-03, 04:59:59,999;36.0
2005-05-03, 05:00:00,000;2005-05-03, 05:59:59,999;99.0
2005-05-03, 06:00:00,000;2005-05-03, 06:59:59,999;257.0
2005-05-03, 07:00:00,000;2005-05-03, 07:59:59,999;462.0
2005-05-03, 08:00:00,000;2005-05-03, 08:59:59,999;433.0
2005-05-03, 09:00:00,000;2005-05-03, 09:59:59,999;442.0
2005-05-03, 10:00:00,000;2005-05-03, 10:59:59,999;307.0
2005-05-03, 11:00:00,000;2005-05-03, 11:59:59,999;273.0
2005-05-03, 12:00:00,000;2005-05-03, 12:59:59,999;309.0
2005-05-03, 13:00:00,000;2005-05-03, 13:59:59,999;336.0
2005-05-03, 14:00:00,000;2005-05-03, 14:59:59,999;406.0
2005-05-03, 15:00:00,000;2005-05-03, 15:59:59,999;484.0
2005-05-03, 16:00:00,000;2005-05-03, 16:59:59,999;453.0
2005-05-03, 17:00:00,000;2005-05-03, 17:59:59,999;413.0
2005-05-03, 18:00:00,000;2005-05-03, 18:59:59,999;424.0
2005-05-03, 19:00:00,000;2005-05-03, 19:59:59,999;291.0
2005-05-03, 20:00:00,000;2005-05-03, 20:59:59,999;209.0
2005-05-03, 21:00:00,000;2005-05-03, 21:59:59,999;229.0
2005-05-03, 22:00:00,000;2005-05-03, 22:59:59,999;413.0
2005-05-03, 23:00:00,000;2005-05-03, 23:59:59,999;111.0
2005-05-04, 00:00:00,000;2005-05-04, 00:59:59,999;70.0
2005-05-04, 01:00:00,000;2005-05-04, 01:59:59,999;52.0
2005-05-04, 02:00:00,000;2005-05-04, 02:59:59,999;17.0
2005-05-04, 03:00:00,000;2005-05-04, 03:59:59,999;19.0
2005-05-04, 04:00:00,000;2005-05-04, 04:59:59,999;30.0
2005-05-04, 05:00:00,000;2005-05-04, 05:59:59,999;103.0
2005-05-04, 06:00:00,000;2005-05-04, 06:59:59,999;290.0
2005-05-04, 07:00:00,000;2005-05-04, 07:59:59,999;460.0
2005-05-04, 08:00:00,000;2005-05-04, 08:59:59,999;416.0
2005-05-04, 09:00:00,000;2005-05-04, 09:59:59,999;414.0
2005-05-04, 10:00:00,000;2005-05-04, 10:59:59,999;316.0
2005-05-04, 11:00:00,000;2005-05-04, 11:59:59,999;311.0
2005-05-04, 12:00:00,000;2005-05-04, 12:59:59,999;344.0
2005-05-04, 13:00:00,000;2005-05-04, 13:59:59,999;284.0
2005-05-04, 14:00:00,000;2005-05-04, 14:59:59,999;385.0
2005-05-04, 15:00:00,000;2005-05-04, 15:59:59,999;487.0
2005-05-04, 16:00:00,000;2005-05-04, 16:59:59,999;426.0
2005-05-04, 17:00:00,000;2005-05-04, 17:59:59,999;401.0
2005-05-04, 18:00:00,000;2005-05-04, 18:59:59,999;383.0
2005-05-04, 19:00:00,000;2005-05-04, 19:59:59,999;265.0
2005-05-04, 20:00:00,000;2005-05-04, 20:59:59,999;213.0
2005-05-04, 21:00:00,000;2005-05-04, 21:59:59,999;263.0
2005-05-04, 22:00:00,000;2005-05-04, 22:59:59,999;353.0
2005-05-04, 23:00:00,000;2005-05-04, 23:59:59,999;121.0
2005-05-05, 00:00:00,000;2005-05-05, 00:59:59,999;65.0
2005-05-05, 01:00:00,000;2005-05-05, 01:59:59,999;42.0
2005-05-05, 02:00:00,000;2005-05-05, 02:59:59,999;46.0
2005-05-05, 03:00:00,000;2005-05-05, 03:59:59,999;23.0
2005-05-05, 04:00:00,000;2005-05-05, 04:59:59,999;40.0
2005-05-05, 05:00:00,000;2005-05-05, 05:59:59,999;100.0
2005-05-05, 06:00:00,000;2005-05-05, 06:59:59,999;282.0
2005-05-05, 07:00:00,000;2005-05-05, 07:59:59,999;446.0
2005-05-05, 08:00:00,000;2005-05-05, 08:59:59,999;423.0
2005-05-05, 09:00:00,000;2005-05-05, 09:59:59,999;399.0
2005-05-05, 10:00:00,000;2005-05-05, 10:59:59,999;338.0
2005-05-05, 11:00:00,000;2005-05-05, 11:59:59,999;321.0
2005-05-05, 12:00:00,000;2005-05-05, 12:59:59,999;287.0
2005-05-05, 13:00:00,000;2005-05-05, 13:59:59,999;345.0
2005-05-05, 14:00:00,000;2005-05-05, 14:59:59,999;389.0
2005-05-05, 15:00:00,000;2005-05-05, 15:59:59,999;414.0
2005-05-05, 16:00:00,000;2005-05-05, 16:59:59,999;384.0
2005-05-05, 17:00:00,000;2005-05-05, 17:59:59,999;306.0
2005-05-05, 18:00:00,000;2005-05-05, 18:59:59,999;320.0
2005-05-05, 19:00:00,000;2005-05-05, 19:59:59,999;318.0
2005-05-05, 20:00:00,000;2005-05-05, 20:59:59,999;240.0
2005-05-05, 21:00:00,000;2005-05-05, 21:59:59,999;202.0
2005-05-05, 22:00:00,000;2005-05-05, 22:59:59,999;158.0
2005-05-05, 23:00:00,000;2005-05-05, 23:59:59,999;97.0
2005-05-06, 00:00:00,000;2005-05-06, 00:59:59,999;53.0
2005-05-06, 01:00:00,000;2005-05-06, 01:59:59,999;48.0
2005-05-06, 02:00:00,000;2005-05-06, 02:59:59,999;37.0
2005-05-06, 03:00:00,000;2005-05-06, 03:59:59,999;33.0
2005-05-06, 04:00:00,000;2005-05-06, 04:59:59,999;36.0
2005-05-06, 05:00:00,000;2005-05-06, 05:59:59,999;100.0
2005-05-06, 06:00:00,000;2005-05-06, 06:59:59,999;258.0
2005-05-06, 07:00:00,000;2005-05-06, 07:59:59,999;443.0
2005-05-06, 08:00:00,000;2005-05-06, 08:59:59,999;467.0
2005-05-06, 09:00:00,000;2005-05-06, 09:59:59,999;463.0
2005-05-06, 10:00:00,000;2005-05-06, 10:59:59,999;312.0
2005-05-06, 11:00:00,000;2005-05-06, 11:59:59,999;272.0
2005-05-06, 12:00:00,000;2005-05-06, 12:59:59,999;454.0
2005-05-06, 13:00:00,000;2005-05-06, 13:59:59,999;353.0
2005-05-06, 14:00:00,000;2005-05-06, 14:59:59,999;411.0
2005-05-06, 15:00:00,000;2005-05-06, 15:59:59,999;443.0
2005-05-06, 16:00:00,000;2005-05-06, 16:59:59,999;360.0
2005-05-06, 17:00:00,000;2005-05-06, 17:59:59,999;377.0
2005-05-06, 18:00:00,000;2005-05-06, 18:59:59,999;358.0
2005-05-06, 19:00:00,000;2005-05-06, 19:59:59,999;334.0
2005-05-06, 20:00:00,000;2005-05-06, 20:59:59,999;230.0
2005-05-06, 21:00:00,000;2005-05-06, 21:59:59,999;273.0
2005-05-06, 22:00:00,000;2005-05-06, 22:59:59,999;222.0
2005-05-06, 23:00:00,000;2005-05-06, 23:59:59,999;148.0
2005-05-07, 00:00:00,000;2005-05-07, 00:59:59,999;99.0
2005-05-07, 01:00:00,000;2005-05-07, 01:59:59,999;65.0
2005-05-07, 02:00:00,000;2005-05-07, 02:59:59,999;61.0
2005-05-07, 03:00:00,000;2005-05-07, 03:59:59,999;44.0
2005-05-07, 04:00:00,000;2005-05-07, 04:59:59,999;31.0
2005-05-07, 05:00:00,000;2005-05-07, 05:59:59,999;42.0
2005-05-07, 06:00:00,000;2005-05-07, 06:59:59,999;123.0
2005-05-07, 07:00:00,000;2005-05-07, 07:59:59,999;184.0
2005-05-07, 08:00:00,000;2005-05-07, 08:59:59,999;206.0
2005-05-07, 09:00:00,000;2005-05-07, 09:59:59,999;258.0
2005-05-07, 10:00:00,000;2005-05-07, 10:59:59,999;289.0
2005-05-07, 11:00:00,000;2005-05-07, 11:59:59,999;295.0
2005-05-07, 12:00:00,000;2005-05-07, 12:59:59,999;365.0
2005-05-07, 13:00:00,000;2005-05-07, 13:59:59,999;396.0
2005-05-07, 14:00:00,000;2005-05-07, 14:59:59,999;377.0
2005-05-07, 15:00:00,000;2005-05-07, 15:59:59,999;304.0
2005-05-07, 16:00:00,000;2005-05-07, 16:59:59,999;327.0
2005-05-07, 17:00:00,000;2005-05-07, 17:59:59,999;266.0
2005-05-07, 18:00:00,000;2005-05-07, 18:59:59,999;315.0
2005-05-07, 19:00:00,000;2005-05-07, 19:59:59,999;296.0
2005-05-07, 20:00:00,000;2005-05-07, 20:59:59,999;203.0
2005-05-07, 21:00:00,000;2005-05-07, 21:59:59,999;250.0
2005-05-07, 22:00:00,000;2005-05-07, 22:59:59,999;321.0
2005-05-07, 23:00:00,000;2005-05-07, 23:59:59,999;167.0
2005-05-08, 00:00:00,000;2005-05-08, 00:59:59,999;113.0
2005-05-08, 01:00:00,000;2005-05-08, 01:59:59,999;80.0
2005-05-08, 02:00:00,000;2005-05-08, 02:59:59,999;87.0
2005-05-08, 03:00:00,000;2005-05-08, 03:59:59,999;47.0
2005-05-08, 04:00:00,000;2005-05-08, 04:59:59,999;42.0
2005-05-08, 05:00:00,000;2005-05-08, 05:59:59,999;41.0
2005-05-08, 06:00:00,000;2005-05-08, 06:59:59,999;59.0
2005-05-08, 07:00:00,000;2005-05-08, 07:59:59,999;82.0
2005-05-08, 08:00:00,000;2005-05-08, 08:59:59,999;150.0
2005-05-08, 09:00:00,000;2005-05-08, 09:59:59,999;202.0
2005-05-08, 10:00:00,000;2005-05-08, 10:59:59,999;261.0
2005-05-08, 11:00:00,000;2005-05-08, 11:59:59,999;288.0
2005-05-08, 12:00:00,000;2005-05-08, 12:59:59,999;320.0
2005-05-08, 13:00:00,000;2005-05-08, 13:59:59,999;323.0
2005-05-08, 14:00:00,000;2005-05-08, 14:59:59,999;371.0
2005-05-08, 15:00:00,000;2005-05-08, 15:59:59,999;277.0
2005-05-08, 16:00:00,000;2005-05-08, 16:59:59,999;294.0
2005-05-08, 17:00:00,000;2005-05-08, 17:59:59,999;315.0
2005-05-08, 18:00:00,000;2005-05-08, 18:59:59,999;297.0
2005-05-08, 19:00:00,000;2005-05-08, 19:59:59,999;271.0
2005-05-08, 20:00:00,000;2005-05-08, 20:59:59,999;237.0
2005-05-08, 21:00:00,000;2005-05-08, 21:59:59,999;196.0
2005-05-08, 22:00:00,000;2005-05-08, 22:59:59,999;152.0
2005-05-08, 23:00:00,000;2005-05-08, 23:59:59,999;80.0
2005-05-09, 00:00:00,000;2005-05-09, 00:59:59,999;54.0
2005-05-09, 01:00:00,000;2005-05-09, 01:59:59,999;41.0
2005-05-09, 02:00:00,000;2005-05-09, 02:59:59,999;25.0
2005-05-09, 03:00:00,000;2005-05-09, 03:59:59,999;20.0
2005-05-09, 04:00:00,000;2005-05-09, 04:59:59,999;35.0
2005-05-09, 05:00:00,000;2005-05-09, 05:59:59,999;108.0
2005-05-09, 06:00:00,000;2005-05-09, 06:59:59,999;256.0
2005-05-09, 07:00:00,000;2005-05-09, 07:59:59,999;416.0
2005-05-09, 08:00:00,000;2005-05-09, 08:59:59,999;400.0
2005-05-09, 09:00:00,000;2005-05-09, 09:59:59,999;362.0
2005-05-09, 10:00:00,000;2005-05-09, 10:59:59,999;314.0
2005-05-09, 11:00:00,000;2005-05-09, 11:59:59,999;259.0
2005-05-09, 12:00:00,000;2005-05-09, 12:59:59,999;273.0
2005-05-09, 13:00:00,000;2005-05-09, 13:59:59,999;271.0
2005-05-09, 14:00:00,000;2005-05-09, 14:59:59,999;369.0
2005-05-09, 15:00:00,000;2005-05-09, 15:59:59,999;417.0
2005-05-09, 16:00:00,000;2005-05-09, 16:59:59,999;367.0
2005-05-09, 17:00:00,000;2005-05-09, 17:59:59,999;322.0
2005-05-09, 18:00:00,000;2005-05-09, 18:59:59,999;351.0
2005-05-09, 19:00:00,000;2005-05-09, 19:59:59,999;292.0
2005-05-09, 20:00:00,000;2005-05-09, 20:59:59,999;175.0
2005-05-09, 21:00:00,000;2005-05-09, 21:59:59,999;186.0
2005-05-09, 22:00:00,000;2005-05-09, 22:59:59,999;116.0
2005-05-09, 23:00:00,000;2005-05-09, 23:59:59,999;82.0
2005-05-10, 00:00:00,000;2005-05-10, 00:59:59,999;58.0
2005-05-10, 01:00:00,000;2005-05-10, 01:59:59,999;26.0
2005-05-10, 02:00:00,000;2005-05-10, 02:59:59,999;27.0
2005-05-10, 03:00:00,000;2005-05-10, 03:59:59,999;16.0
2005-05-10, 04:00:00,000;2005-05-10, 04:59:59,999;40.0
2005-05-10, 05:00:00,000;2005-05-10, 05:59:59,999;107.0
2005-05-10, 06:00:00,000;2005-05-10, 06:59:59,999;286.0
2005-05-10, 07:00:00,000;2005-05-10, 07:59:59,999;445.0
2005-05-10, 08:00:00,000;2005-05-10, 08:59:59,999;425.0
2005-05-10, 09:00:00,000;2005-05-10, 09:59:59,999;401.0
2005-05-10, 10:00:00,000;2005-05-10, 10:59:59,999;324.0
2005-05-10, 11:00:00,000;2005-05-10, 11:59:59,999;257.0
2005-05-10, 12:00:00,000;2005-05-10, 12:59:59,999;377.0
2005-05-10, 13:00:00,000;2005-05-10, 13:59:59,999;338.0
2005-05-10, 14:00:00,000;2005-05-10, 14:59:59,999;331.0
2005-05-10, 15:00:00,000;2005-05-10, 15:59:59,999;436.0
2005-05-10, 16:00:00,000;2005-05-10, 16:59:59,999;428.0
2005-05-10, 17:00:00,000;2005-05-10, 17:59:59,999;376.0
2005-05-10, 18:00:00,000;2005-05-10, 18:59:59,999;390.0
2005-05-10, 19:00:00,000;2005-05-10, 19:59:59,999;298.0
2005-05-10, 20:00:00,000;2005-05-10, 20:59:59,999;245.0
2005-05-10, 21:00:00,000;2005-05-10, 21:59:59,999;196.0
2005-05-10, 22:00:00,000;2005-05-10, 22:59:59,999;155.0
2005-05-10, 23:00:00,000;2005-05-10, 23:59:59,999;81.0
2005-05-11, 00:00:00,000;2005-05-11, 00:59:59,999;58.0
2005-05-11, 01:00:00,000;2005-05-11, 01:59:59,999;30.0
2005-05-11, 02:00:00,000;2005-05-11, 02:59:59,999;23.0
2005-05-11, 03:00:00,000;2005-05-11, 03:59:59,999;19.0
2005-05-11, 04:00:00,000;2005-05-11, 04:59:59,999;24.0
2005-05-11, 05:00:00,000;2005-05-11, 05:59:59,999;117.0
2005-05-11, 06:00:00,000;2005-05-11, 06:59:59,999;258.0
2005-05-11, 07:00:00,000;2005-05-11, 07:59:59,999;443.0
2005-05-11, 08:00:00,000;2005-05-11, 08:59:59,999;482.0
2005-05-11, 09:00:00,000;2005-05-11, 09:59:59,999;377.0
2005-05-11, 10:00:00,000;2005-05-11, 10:59:59,999;384.0
2005-05-11, 11:00:00,000;2005-05-11, 11:59:59,999;330.0
2005-05-11, 12:00:00,000;2005-05-11, 12:59:59,999;311.0
2005-05-11, 13:00:00,000;2005-05-11, 13:59:59,999;301.0
2005-05-11, 14:00:00,000;2005-05-11, 14:59:59,999;366.0
2005-05-11, 15:00:00,000;2005-05-11, 15:59:59,999;402.0
2005-05-11, 16:00:00,000;2005-05-11, 16:59:59,999;376.0
2005-05-11, 17:00:00,000;2005-05-11, 17:59:59,999;383.0
2005-05-11, 18:00:00,000;2005-05-11, 18:59:59,999;339.0
2005-05-11, 19:00:00,000;2005-05-11, 19:59:59,999;275.0
2005-05-11, 20:00:00,000;2005-05-11, 20:59:59,999;193.0
2005-05-11, 21:00:00,000;2005-05-11, 21:59:59,999;266.0
2005-05-11, 22:00:00,000;2005-05-11, 22:59:59,999;145.0
2005-05-11, 23:00:00,000;2005-05-11, 23:59:59,999;102.0
2005-05-12, 00:00:00,000;2005-05-12, 00:59:59,999;64.0
2005-05-12, 01:00:00,000;2005-05-12, 01:59:59,999;55.0
2005-05-12, 02:00:00,000;2005-05-12, 02:59:59,999;31.0
2005-05-12, 03:00:00,000;2005-05-12, 03:59:59,999;23.0
2005-05-12, 04:00:00,000;2005-05-12, 04:59:59,999;30.0
2005-05-12, 05:00:00,000;2005-05-12, 05:59:59,999;114.0
2005-05-12, 06:00:00,000;2005-05-12, 06:59:59,999;239.0
2005-05-12, 07:00:00,000;2005-05-12, 07:59:59,999;450.0
